title,description,category,thumbnail Image,locationType,location,eventDate - Start,eventDate - end,registrationLink,tags,Workgroup
Institutional Research Network — Inaugural Reception,"The Institutional Research Network — Inaugural Reception marks the launch of The Digital Economist’s new institutional platform, bringing together leading organizations—typically with annual revenues in excess of $100 million—for long-term collaboration on the strategic questions shaping governance, markets, technology, and the global economic architecture. As AI, climate transition, geopolitics, and financial infrastructure converge, the Network connects institutions with material influence across capital, policy, technology, and operating systems to participate directly in the design of emerging systems. The Network launches as a highly curated, invitation-only group of institutional partners, with the inaugural reception convening senior leaders at the center of The Digital Economist’s Davos 2026 agenda.",davos,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\insitutional-research-network-inaugural-reception-01-26.jpg,On-site,"Library Lounge, Hotel Edelweiss Rossweidstrasse 9, 7270 Davos, Switzerland",Wed Jan 21 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,,applied-artificial-intelligence; digital-assets-and-blockchain; healthcare-innovation; Sustainability in Tech; tech-policy-and-governance
Navigating Uncertainty,"Just as we return from The World Bank and International Monetary Fund Spring Meetings, the urgency for deeper dialogue has never been greater. We are continuing our bi-monthly roundtable with our next session — convening at a pivotal moment when the future of global governance is under pressure from a rapidly shifting geopolitical landscape. This discussion will simultaneously serve as a debrief from the Spring Meetings and an open conversation about the path forward for institutions facing unprecedented challenges.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\navigating-uncertainty-05-25.jpg,Virtual,,Thu May 08 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,tech-policy-and-governance
"Power, Technology, Humanity","The fault lines of global fragmentation—and the accelerating pace of technological disruption—demand a fundamental rethinking of where power sits and how it shapes human possibility. In a world defined by interdependence, outdated structures cannot meet the scale or speed of the challenges we face.
Power, Technology, Humanity: A New Alignment convenes a two-day gathering of leading thinkers, practitioners, and institutional stewards committed to redesigning the terms of our shared future. Anchored in principles of digital sovereignty, ethical innovation, and inclusive growth, this summit examines how emerging technologies and governance models can recalibrate economic, social, and planetary systems at scale.
Across domains—from intelligent machines to new forms of value exchange, from climate-driven health pressures to space-based infrastructures—we will interrogate the shifts already underway and the frameworks required to guide them. This is an invitation to move from recognition to realignment: to ensure that technological progress advances human dignity, strengthens collective resilience, and expands shared prosperity.
Positioned on the cusp of Davos 2026 and its ethos of a “Spirit of Dialogue,” this roundtable sharpens our direction of travel. It lays the groundwork for the next era of action—where institutions, technologies, and societies move in concert to build a durable, interconnected digital commons for generations to come.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\power-tech-humanity-12-25.jpg,Virtual,,Thu Dec 11 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,https://luma.com/a6kzt9q3,,applied-artificial-intelligence; digital-assets-and-blockchain; healthcare-innovation; Sustainability in Tech; tech-policy-and-governance
Prototyping Policy,"We have reached a point in history where the impacts of technical, geo-political or crises events are far-reaching leaving us with high uncertainty. This increasingly makes our current policymaking ill-equipped to mitigate complex effects or understand societal responses. One method to handle the ambiguity and the gap between policy makers and the events at ground zero is to prototype policy (get and alpha or beta test) before we deploy it at larger scale. Prototyping policy requires the active participation of stakeholders like the private sector and users if it to get real-feedback and be impactful. This should allow governments to identify what works and what doesn't, allowing them to refine or even abandon an ineffective policy before it leads to significant financial, social and environmental costs. What are the toolkits governments experiment with across the world? How effective are they? What are the key challenges going forward? Most importantly an agile governance perspective may make a government system that is rules-based brittle – what is the fine line between agile and brittleness? This panel will have a discussion on trends like government and private sector experiments, sandboxes or reg labs, nudge labs, and other evidence-based approaches. We will dive into what is working well, what needs to change and why and recommend what needs to happen going forward.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\prototyping-policy-09-25.jpg,Virtual,,Thu Sep 11 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,tech-policy-and-governance
Regenerative Agriculture Meets Digital Transformation,"This roundtable brings together global voices on smart farming to reveal how human-centered Industry 5.0 technologies such as AI, Web3, blockchain, IIoT sensing, monitoring and real-time data analytics, smart robotics and drones, low-earth orbit satellite for GIS data and imagery, digital twinning and biotech can help scale, massively improve crop-yield productivity while building healthy soil, conserving water and land use, as well as supporting and enhancing biodiversity in meaningful, inclusive ways. This conversation dives into how digital innovations – from smart biomass/biochar management to real-time precision digital soil, air and water sensing and monitoring, testing and real-time analytics – can help restore and protect sustainable ecosystems and build both climate-change resiliency, adaptability and regenerativity. We'll also unpack how these systems can support farmers, create more fair and equitable food systems, and make agriculture both more sustainable and economically viable through models like carbon, water, soil and biodiversity credits and land conservation tax incentives, as well as secure, traceable provenance for the full circular supply and value chains. Grounded in global success stories and guided by equity, ethics and shared stewardship, this Roundtable is about reimagining the future of, in this case, plant-based food where digitalization supports true Triple-P bottom-line accounting: People, Planet and Profits. ",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\regenrative-agriculture-meets-digital-transformation-04-25.png,Virtual,,Thu Apr 24 2025 15:00:00 GMT+0000 (Coordinated Universal Time),,,,Sustainability in Tech
Rewriting the Climate Contract in the Age of Agentic AI,"As we move from the generative AI wave of 2024 into the agentic AI era of 2025, the conversation is no longer about efficiency gains—it’s about autonomous, verifiable systems delivering real-world impact. Nowhere is this shift more urgent than in climate finance. ​This evening convening, hosted by The Digital Economist in collaboration with FinTech Meetup, brings together global leaders at the intersection of AI, blockchain, policy, and enterprise finance to explore how technology can anchor a just and enforceable climate contract. ​Grounded in the ICJ’s landmark ruling on climate obligations, the UN Summit of the Future 2025 agenda, and the insights from Healing a Broken World, the program will advance two urgent fronts: ​Deploying agentic AI to ensure climate capital flows with integrity, accountability, and speed. ​Building commons-based infrastructure—from tokenized finance to SHE-metrics—that embeds equity and enforceability into the global economic system. ​Through high-level plenaries, a hands-on policy council, and an intimate networking reception, participants will leave with actionable pathways, partnership opportunities, and a shared vision for aligning finance, technology, and governance in service of people and the planet.",summit,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\rewriting-the-climate-contract-in-the-age-of-agentic-ai-09-25.jpg,On-site,605 3rd Ave 26th floor New York,Mon Sep 22 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,https://luma.com/yophd9vc,,Sustainability in Tech; applied-artificial-intelligence
Shaping the Future of Gen AI & Agentic AI,"Will these technologies collaborate in a powerful partnership—boosting creativity and innovation—or will Agentic AI take center stage, consolidating decision-making and creative tasks? While the promise of streamlined efficiency grows, so do ethical concerns and questions about innovation diversity. The roundtable will explore trends, uncertainties, opportunities, and implications, including: – Harmonious Coexistence: Complementary roles, collaborative ecosystems, and innovation acceleration. – Agentic AI Replacing Gen AI (Agentic Rules): Autonomous creation and decision-making, efficiency over specialization, reduced innovation diversity, and ethical trade-offs.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\shaping-the-future-of-gen-ai&agentic-ai-04-25.png,Virtual,,Thu Apr 10 2025 16:41:00 GMT+0000 (Coordinated Universal Time),,,,applied-artificial-intelligence
Terms of Engagement,"This two-day virtual roundtable builds directly on the foundational themes of We The People—from sovereignty over our data and institutions, to inclusion in our economies and digital systems. But this is no longer just about defending what was. It’s about designing what comes next. Over nine sessions, Terms of Engagement surfaces blueprints for a new era: — Where AI serves people, not platforms — Where health systems are redesigned for sovereignty and dignity — Where climate and capital are governed for the commons, not the elite — And where governance is reimagined as a collective act—not a private interest",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\terms-of-engagement-07-25.jpg,Virtual,,Thu Jun 12 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,applied-artificial-intelligence; digital-assets-and-blockchain; governance; healthcare-innovation; tech-policy-and-governance; Sustainability in Tech
The Data Center Reckoning,"The Data Center Reckoning: A Fast-Coming Phase Change for Data Centers and the Digital Infrastructure Sector is a high-level virtual roundtable hosted by The Digital Economist in collaboration with the iMasons Climate Accord on February 19, 2026, 11:00 AM to 12:00 PM EST. The session examines the structural inflection point facing global digital infrastructure as hyperscale campuses, AI-intensive workloads, and cloud expansion place growing pressure on power grids, water systems, and community resources. Bringing together leaders across sustainability, AI, policy, and investment, the discussion will address the convergence of physical and ICT infrastructure into a unified digital ecosystem, with a focus on carbon accounting, lifecycle assessment, regulatory scrutiny, and the role of capital markets in driving measurable progress toward carbon-neutral and net-zero outcomes.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\The-data-center-reckoning-02-26.jpg,Virtual,,Thu Feb 19 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,,regenerative-digital-infrastructure
The Digital Economist’s Biannual Roundtable Series,"The June convening brings together cross-sector leaders—including regulators, institutional investors, technology executives, and multilateral representatives—to assess systemic shifts across digital infrastructure, capital formation, governance, and emerging technologies. Over two days, participants will examine how digital systems intersect with financial markets, climate strategy, public sector modernization, and global regulatory alignment. The roundtable is structured to facilitate structured dialogue, policy exchange, and institutional coordination across jurisdictions. ",roundtable,,Virtual,,Thu Jun 11 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jun 12 2026 00:00:00 GMT+0000 (Coordinated Universal Time),https://thedigitaleconomist.typeform.com/june-series,,applied-artificial-intelligence; cyber-studio; digital-assets-and-blockchain; healthcare-innovation; quantum-computing; regenerative-digital-infrastructure; Sustainability in Tech; tech-policy-and-governance
The Digital Economist’s Biannual Roundtable Series,"This two-day roundtable convenes senior decision-makers from government, finance, technology, academia, and multilateral institutions for structured dialogue on developments shaping the digital economy. The convening provides a cross-sector forum to examine emerging issues, institutional considerations, and strategic priorities as they evolve across jurisdictions. Designed to facilitate substantive exchange, the session supports coordination and insight-sharing among public and private sector leaders navigating digital transformation.",roundtable,,Virtual,,Thu Nov 12 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Nov 13 2026 00:00:00 GMT+0000 (Coordinated Universal Time),https://thedigitaleconomist.typeform.com/nov-series,,applied-artificial-intelligence; cyber-studio; digital-assets-and-blockchain; healthcare-innovation; quantum-computing; regenerative-digital-infrastructure; Sustainability in Tech; tech-policy-and-governance
UN General Assembly,"The UN General Assembly convenes heads of state, ministers, and diplomats to negotiate resolutions and coordinate action on development, climate, trade, security, and global governance. At UNGA 81, The Digital Economist will contribute to discussions on digital governance, infrastructure access, and economic inclusion within multilateral policy frameworks. Engagement will center on how digital systems, data policy, and infrastructure standards align with national implementation plans and international development commitments.",summit,,On-site,New York,Tue Sep 08 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Sep 22 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,applied-artificial-intelligence; cyber-studio; digital-assets-and-blockchain; healthcare-innovation; quantum-computing; Sustainability in Tech
We The People,"At a time when democracy is under siege—threatened by rising authoritarianism, economic instability, and digital repression—We The People stands as a resolute call to action. This full-day summit, held in Washington, D.C., alongside the Spring Meetings of the World Bank and IMF, convenes global leaders, policymakers, civil society advocates, and innovators to forge a path forward. Through high-level discussions, strategic convenings, and coalition-building sessions, this gathering will address the urgent challenges of our time: safeguarding democratic institutions, protecting civil liberties, defending economic sovereignty, and ensuring that emerging technologies serve the common good. Building on The Digital Economist’s Davos 2025 convenings, this summit also marks the launch of key publications on Responsible AI, Commons Governance, and Regenerative Finance—outlining solutions for capital deployment, governance, and global resilience in an era of disruption. ",summit,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\we-the-people-04-25.jpg,On-site,"National union, WASHINGTON, D.C.",Wed Apr 23 2025 17:42:00 GMT+0000 (Coordinated Universal Time),,,,digital-assets-and-blockchain; governance; healthcare-innovation; tech-policy-and-governance; applied-artificial-intelligence; Sustainability in Tech
World Bank Group & IMF Spring Meetings,"The Spring Meetings bring together finance ministers, central bank governors, development banks, and institutional investors to review global economic conditions, debt sustainability, capital flows, and development financing priorities. At these meetings, The Digital Economist will engage policymakers and financial institutions on how digital infrastructure, data systems, and technology investment intersect with economic planning, sovereign finance, and climate funding. The focus will be on how digital systems are financed, regulated, and integrated into national development strategies.",summit,,On-site,"Washington, D.C.",Mon Apr 13 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Sat Apr 18 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,digital-assets-and-blockchain; applied-artificial-intelligence; healthcare-innovation; Sustainability in Tech; tech-policy-and-governance
